date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1949-01-15,France,Scotland,0,8,1949 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1949-01-15,Wales,England,9,3,1949 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1949-01-29,Ireland,France,9,16,1949 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1949-02-05,Scotland,Wales,6,5,1949 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1949-02-12,Ireland,England,14,5,1949 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1949-02-26,England,France,8,3,1949 Five Nations Championship,Twickenham,London,England,False,False
1949-02-26,Scotland,Ireland,3,13,1949 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1949-03-12,Wales,Ireland,0,5,1949 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1949-03-19,England,Scotland,19,3,1949 Five Nations Championship,Twickenham Stadium,London,England,False,False
1949-03-26,France,Wales,5,3,1949 Five Nations Championship,Stade Colombes,Paris,France,False,False
1949-07-16,South Africa,New Zealand,15,11,1949 New Zealand tour,Newlands,Cape Town,South Africa,False,False
1949-08-13,South Africa,New Zealand,12,6,1949 New Zealand tour,Ellis Park,Johannesburg,South Africa,False,False
1949-08-28,Argentina,France,0,5,1949 France tour of Argentina,Estadio Gimnasia y Esgrima de Buenos Aires,Buenos Aires,Argentina,False,False
1949-09-03,South Africa,New Zealand,9,3,1949 New Zealand tour,Kingsmead,Durban,South Africa,False,False
1949-09-03,New Zealand,Australia,6,11,1949 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False
1949-09-04,Argentina,France,3,12,1949 France tour of Argentina,Estadio Gimnasia y Esgrima de Buenos Aires,Buenos Aires,Argentina,False,False
1949-09-17,South Africa,New Zealand,11,8,1949 New Zealand tour,Crusaders Ground,Port Elizabeth,South Africa,False,False
1949-09-24,New Zealand,Australia,9,16,1949 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
1950-01-14,Scotland,France,8,5,1950 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1950-01-21,England,Wales,5,11,1950 Five Nations Championship,Twickenham,London,England,False,False
1950-01-28,France,Ireland,3,3,1950 Five Nations Championship,Colombes,Paris,France,False,False
1950-02-04,Wales,Scotland,12,0,1950 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1950-02-11,England,Ireland,3,0,1950 Five Nations Championship,Twickenham,London,England,False,False
1950-02-25,France,England,6,3,1950 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1950-02-25,Ireland,Scotland,21,0,1950 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1950-03-11,Ireland,Wales,3,6,1950 Five Nations Championship,Ravenhill,Belfast,Ireland,False,False
